"filename", "language", "JavaScript", "JSON with Comments", "JSON", "Markdown", "TypeScript", "JavaScript JSX", "CSS", "XML", "Django HTML", "Properties", "TypeScript JSX", "comment", "blank", "total"
"d:\Websites\Prescripto\admin\index.html", "Django HTML", 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 13
"d:\Websites\Prescripto\admin\package-lock.json", "JSON", 0, 0, 6927, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6928
"d:\Websites\Prescripto\admin\package.json", "JSON", 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 39
"d:\Websites\Prescripto\admin\postcss.config.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"d:\Websites\Prescripto\admin\public\favicon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"d:\Websites\Prescripto\admin\public\vite.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\Websites\Prescripto\admin\src\App.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 4, 49
"d:\Websites\Prescripto\admin\src\assets\add_icon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"d:\Websites\Prescripto\admin\src\assets\admin_logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 1, 7
"d:\Websites\Prescripto\admin\src\assets\appointment_icon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 1, 13
"d:\Websites\Prescripto\admin\src\assets\appointments_icon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 1, 7
"d:\Websites\Prescripto\admin\src\assets\assets.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 30
"d:\Websites\Prescripto\admin\src\assets\cancel_icon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 1, 21
"d:\Websites\Prescripto\admin\src\assets\doctor_icon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 1, 7
"d:\Websites\Prescripto\admin\src\assets\earning_icon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 1, 12
"d:\Websites\Prescripto\admin\src\assets\home_icon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"d:\Websites\Prescripto\admin\src\assets\list_icon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
"d:\Websites\Prescripto\admin\src\assets\patient_icon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"d:\Websites\Prescripto\admin\src\assets\patients_icon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 1, 15
"d:\Websites\Prescripto\admin\src\assets\people_icon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 1, 12
"d:\Websites\Prescripto\admin\src\assets\tick_icon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 1, 21
"d:\Websites\Prescripto\admin\src\assets\upload_area.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
"d:\Websites\Prescripto\admin\src\components\IncomeChart.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 9, 71
"d:\Websites\Prescripto\admin\src\components\Navbar.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 6, 33
"d:\Websites\Prescripto\admin\src\components\Sidebar.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 6, 52
"d:\Websites\Prescripto\admin\src\context\AdminContext.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 179, 0, 0, 0, 0, 0, 18, 49, 246
"d:\Websites\Prescripto\admin\src\context\AppContext.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 2, 11, 42
"d:\Websites\Prescripto\admin\src\context\DoctorContext.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 93, 0, 0, 0, 0, 0, 7, 34, 134
"d:\Websites\Prescripto\admin\src\index.css", "CSS", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 2, 12
